Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Zadig&Voltaire,Clutch Bags,,,,,0,452
Kate Spade,Shoulder Bags,leather,black,,,0,515
Vivienne Westwood,Messenger & Crossbody Bags,calf leather,olive green,Conscious,Made in Italy,0,248
Tory Burch,Shoulder Bags,calf leather,brown,New Season,,1,617
Thom Browne,Clutch Bags,silk,multicolour,,,1,369
PINKO,Shoulder Bags,quilted,ruby red,,,0,343
Alexander McQueen,Wallets & Purses,calf leather,black,New Season,Made in Italy,0,890
Bimba y Lola,Messenger & Crossbody Bags,calf leather/sheepskin,yellow/green tea,,,0,299
Lanvin,Mini Bags,lambskin,black,,Made in France,1,1339
Wandler,Tote Bags,calf leather,lime green,Conscious,Made in Italy,0,520
Chloé,Messenger & Crossbody Bags,calf leather,desert sage green,New Season,Made in Italy,0,1207
Gucci,Shoulder Bags,leather,green/yellow,,Made in Italy,1,2540
Gucci,Messenger & Crossbody Bags,horse leather,red/beige/navy,,Made in Italy,1,2760
Balenciaga,Mini Bags,glitter detailing,black,Conscious,Made in Italy,1,2000
Gucci,Bucket Bags,,,,Made in Italy,0,1595
Ferragamo,Shoulder Bags,,,,Made in Italy,0,2418
Coccinelle,Messenger & Crossbody Bags,calf leather/cotton,black/white,,,0,291
See by Chloé,Messenger & Crossbody Bags,leather/calf leather,black,,,0,390
Proenza Schouler,Messenger & Crossbody Bags,,,,Made in Italy,0,990
Dolce & Gabbana,Messenger & Crossbody Bags,gold-tone hardware,black,New Season,Made in Italy,1,1724
Orciani,Messenger & Crossbody Bags,calf suede,brown,,Made in Italy,0,637
Karl Lagerfeld,Shoulder Bags,calf leather,bubblegum pink,New Season,,0,275
Marc Jacobs,Shoulder Bags,calf leather,black,New Season,,1,524
Coccinelle,Tote Bags,calf leather,beige,,,0,302
Furla,Messenger & Crossbody Bags,calf leather,cream white,New Season,,0,338
PINKO,Messenger & Crossbody Bags,calf leather,light brown,,,1,247
Coperni,Tote Bags,calf leather,lilac/bright red,,Made in Italy,0,534
Chloé,Tote Bags,straw/leather,beige/white,,,1,707
DKNY,Tote Bags,calf leather,salmon pink,New Season,,0,378
Zadig&Voltaire,Bag Accessories,metal,calf leather,,,0,135
Love Moschino,Clutch Bags,gold-tone logo lettering,black,,,0,135
La DoubleJ,Clutch Bags,all-over graphic print,black/multicolour,New Season,Made in Italy,1,144
Dolce & Gabbana,Messenger & Crossbody Bags,cotton/calf leather,brown/black,,Made in Italy,1,2698
Furla,Tote Bags,leather,violet purple ,New Season,,0,326
DKNY,Tote Bags,calf leather,black,New Season,,0,390
Karl Lagerfeld,Shoulder Bags,calf leather,jet black,,,0,334
Karl Lagerfeld,Messenger & Crossbody Bags,black,lemon yellow,,,1,253
Isabel Marant,Tote Bags,denim,ocean blue/white,New Season,,1,180
MM6 Maison Margiela,Tote Bags,,,,,0,302
Jacquemus,Tote Bags,lambskin,yellow,New Season,Made in Italy,1,1139
Valentino Garavani,Messenger & Crossbody Bags,leather,jet black,,Made in Italy,0,1622
JW Anderson,Messenger & Crossbody Bags,calf leather,dark navy blue,,,0,818
Isabel Marant,Tote Bags,organic cotton,ecru/rose pink,New Season,,0,228
Tory Burch,Messenger & Crossbody Bags,faux leather,black,,,1,452
LIU JO,Shoulder Bags,gold-tone hardware,off-white,New Season,,0,203
Karl Lagerfeld,Belt Bags,recycled polyamide blend,black,New Season,,0,165
DKNY,Tote Bags,,,,,0,217
Versace Jeans Couture,Shoulder Bags,faux leather,lavender purple,New Season,,0,222
Chiara Ferragni,Shoulder Bags,signature Eyelike motif,pink,,,0,172
Stella McCartney,Shoulder Bags,faux leather,blush pink,Conscious,Made in Italy,0,1052
PINKO,Messenger & Crossbody Bags,calf leather,white,New Season,,0,174
Mulberry,Tote Bags,leather,apple green,,,1,900
ETRO,Bag Accessories,,,,Made in Italy,0,228
Emporio Armani,Messenger & Crossbody Bags,faux leather,black,New Season,,0,312
Furla,Shoulder Bags,calf leather,blue,New Season,Made in Italy,0,337
V°73,Tote Bags,faux leather,black,,,0,180
Comme Des Garçons,Tote Bags,,,,,0,508
Furla,Mini Bags,embossed logo to the front,light pacific blue,,Made in Italy,0,198
Tory Burch,Tote Bags,two long top handles,navy,New Season,,0,408
Karl Lagerfeld,Clutch Bags,cotton/leather,multicolour,,,0,256
Love Moschino,Messenger & Crossbody Bags,artificial leather,red,,,0,93
Pollini,Shoulder Bags,artificial leather,black,,,0,168
Ralph Lauren Collection,Messenger & Crossbody Bags,calf leather,red,,Made in Italy,0,1251
Lancel,Bucket Bags,cotton/leather,petrol blue,,Made in Italy,1,725
Pollini,Tote Bags,faux leather,brown,,,0,160
Love Moschino,Tote Bags,faux leather,taupe,,,0,190
Yuzefi,Shoulder Bags,leather,black,New Season,,1,576
Paco Rabanne,Tote Bags,metal,silver/gold ,,Made in Italy,0,1547
Jil Sander,Shoulder Bags,calf leather,pastel yellow,,Made in Italy,0,800
Furla,Clutch Bags,calf leather,light pink,New Season,,0,240
Furla,Mini Bags,sequin detailing,black,New Season,,0,275
Love Moschino,Clutch Bags,textured finish,flame red,,,1,108
Karl Lagerfeld,Shoulder Bags,recycled polyamide-blend,black,Conscious,,0,253
Emporio Armani,Tote Bags,logo tag,red,New Season,,0,253
Furla,Bucket Bags,leather,orange,,Made in Italy,0,330
See by Chloé,Shoulder Bags,,,,,0,490
Tommy Hilfiger,Shoulder Bags,faux-leather,blue,,,1,156
Lemaire,Shoulder Bags,lambskin/cotton,black,,,1,1237
Parajumpers,Messenger & Crossbody Bags,logo patch to the front,khaki green,,,0,134
Off-White,Shoulder Bags,leather,white,,Made in Italy,1,1475
See by Chloé,Shoulder Bags,calf leather/cotton,light olive green,New Season,,0,388
Ferragamo,Shoulder Bags,calf leather,black,New Season,Made in Italy,1,1019
LIU JO,Tote Bags,faux leather,black,,,0,151
Marc Jacobs,Bag Accessories,,,,,0,171
Valentino Garavani,Shoulder Bags,calf leather,mint green,New Season,Made in Italy,0,2522
Calvin Klein,Tote Bags,logo print to the front,black,,,1,196
Chloé,Messenger & Crossbody Bags,calf leather,brown,,Made in Italy,0,1906
Zanellato,Tote Bags,calf leather,jet black,,Made in Italy,0,623
See by Chloé,Shoulder Bags,calf leather,mint green,,,0,308
Chiara Ferragni,Shoulder Bags,faux leather,bubblegum pink,New Season,,0,204
Balenciaga,Messenger & Crossbody Bags,calf leather,black,Conscious,Made in Italy,1,3750
Alexander McQueen,Messenger & Crossbody Bags,calf leather,beige,,Made in Italy,1,1216
Jimmy Choo,Clutch Bags,satin finish,lime green,New Season,Made in Italy,1,713
Moschino,Luggage,diamond-quilted detailing,black,,,0,577
Tommy Hilfiger,Clutch Bags,set of three,royal blue/navy blue,,,0,78
Michael Michael Kors,Tote Bags,calf leather,archive beige,,,0,409
Themoirè,Shoulder Bags,high-shine finish,botanical green,Conscious,Made in Italy,0,202
Love Moschino,Messenger & Crossbody Bags,all-over embossed logo print,black,,,0,178
Coccinelle,Tote Bags,abstract pattern print,multicolour,,,0,270
Calvin Klein,Messenger & Crossbody Bags,silver-tone hardware,yellow,New Season,,0,157
Karl Lagerfeld,Tote Bags,calf suede,black,New Season,,0,364
Sporty & Rich,Tote Bags,canvas,cream white/bright red,New Season,,0,102
STAUD,Shoulder Bags,,,,Made in United Kingdom,0,324
Moschino,Tote Bags,calf leather,multicolour,,Made in Italy,0,567
Nina Ricci,Tote Bags,wool,brown,,,0,316
Manu Atelier,Shoulder Bags,calf leather,mocha,,,0,300
Supreme,Backpacks,signature box logo,brown,New Season,,1,275
Love Moschino,Messenger & Crossbody Bags,faux leather,off-white,,,0,261
Ferragamo,Mini Bags,sand beige,burgundy,,Made in Italy,1,1005
Michael Kors,Messenger & Crossbody Bags,calf leather,white,New Season,,0,300
Furla,Shoulder Bags,calf leather,royal blue,,Made in Italy,0,236
V°73,Tote Bags,faux leather,off-white,,,0,108
Ash,Shoulder Bags,lamb skin,camel brown,,,0,190
Furla,Tote Bags,leather,jet-black,,,0,503
Manu Atelier,Shoulder Bags,calf leather,brown,,,0,337
BY FAR,Shoulder Bags,lambskin/calf leather/cotton,cement grey,,,0,444
Zanellato,Shoulder Bags,,,,Made in Italy,0,593
Manu Atelier,Shoulder Bags,calf leather,tan brown,,,0,329
Studio Amelia,Tote Bags,calf leather,dark purple,,,0,195
MC2 Saint Barth,Tote Bags,quilted,light beige/white/black,,,0,139
Marni,Tote Bags,leather,black,,Made in Italy,1,1463
Amina Muaddi,Clutch Bags,satin finish,multicolour,New Season,Made in Italy,1,1834
See by Chloé,Mini Bags,,,,,0,306
Nº21,Messenger & Crossbody Bags,ruched detailing,cinnamon brown,,Made in Italy,1,487
The Attico,Clutch Bags,calf leather,fluorescent green,,Made in Italy,0,2316
LIU JO,Shoulder Bags,faux leather,black,New Season,,0,204
MISBHV,Shoulder Bags,silver-tone logo plaque,beige/black,New Season,,0,315
Moreau,Messenger & Crossbody Bags,multicolour,brown,,,0,1055
Furla,Shoulder Bags,calf leather,black,,Made in Italy,0,381
Lancel,Shoulder Bags,calf leather,emerald green,,Made in Italy,0,302
PINKO,Messenger & Crossbody Bags,calf leather,lilac purple,New Season,,1,318
Moschino,Shoulder Bags,gold-tone logo lettering,black/gold,,,0,381
PINKO,Messenger & Crossbody Bags,calf leather,white,New Season,,1,359
Zadig&Voltaire,Bag Accessories,calf leather,black,,,0,185
Versace Jeans Couture,Messenger & Crossbody Bags,gold-tone logo plaque,blue,,,1,202
Stella McCartney,Shoulder Bags,gold-tone logo plaque,camelbrown,Conscious,Made in Italy,0,483
Bimba y Lola,Messenger & Crossbody Bags,leather,black,,,0,162
Alexander McQueen,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1890
Chiara Ferragni,Shoulder Bags,stretch-design,hot pink,,,0,252
Undercover,Luggage,logo patch to the front,bright red,,,1,192
Furla,Tote Bags,calf leather,beige,New Season,Made in Italy,0,452
Coach,Tote Bags,leather,multicolour,,,1,514
PINKO,Messenger & Crossbody Bags,calf leather,fuchsia pink,New Season,,1,270
PINKO,Shoulder Bags,satin finish,blue,New Season,,0,258
Tory Burch,Tote Bags,calf leather,clam shell,,,1,1139
Coccinelle,Tote Bags,calf leather,light beige,,Made in Italy,0,281
Proenza Schouler White Label,Shoulder Bags,calf leather,black,New Season,,0,425
Tommy Hilfiger,Tote Bags,pebbled texture,beige,,,0,150
Themoirè,Clutch Bags,recycled PET,black,New Season,Made in Italy,0,342
Chiara Ferragni,Shoulder Bags,embossed logo to the front,light pink,,,0,270
Aspinal Of London,Tote Bags,calf leather,sand brown,,,0,356
Tommy Hilfiger,Tote Bags,,,,,0,169
Marc Jacobs,Shoulder Bags,calf leather,turquoise blue-green,New Season,,1,396
BY FAR,Tote Bags,,,,,0,424
Dolce & Gabbana,Messenger & Crossbody Bags,lambskin,blush pink,New Season,Made in Italy,0,2046
Alexander McQueen,Shoulder Bags,,,,Made in Italy,0,1708
Alexander McQueen,Shoulder Bags,graffiti print,black/off-white,,Made in Italy,0,511
PINKO,Messenger & Crossbody Bags,,,,,0,354
Viktor & Rolf,Tote Bags,,,,,0,150
La DoubleJ,Tote Bags,stretch-cotton,multicolour,,Made in Italy,0,300
DKNY,Backpacks,calf leather,jet black,,,0,324
Marc Jacobs,Tote Bags,high-shine finish,fern green,,,1,570
PINKO,Mini Bags,calf leather,pink,New Season,,1,192
Michael Michael Kors,Shoulder Bags,calf leather,brown/acorn,,,0,300
Moschino,Tote Bags,,,,Made in Italy,0,1171
Valentino Garavani,Shoulder Bags,leather,ivory white,,Made in Italy,1,1622
Dolce & Gabbana,Tote Bags,calf leather,bubblegum pink,New Season,Made in Italy,1,2116
Moschino,Tote Bags,gold-tone logo plaque,calf leather,,Made in Italy,0,477
colville,Bucket Bags,calf leather,multicolour,,Made in Italy,0,471
Marni,Shoulder Bags,leather/cotton,plum purple,,Made in Italy,0,1124
DKNY,Shoulder Bags,lambskin,stone,,,0,283
Proenza Schouler,Clutch Bags,calf leather,light peach orange,,Made in Italy,1,453
Michael Michael Kors,Messenger & Crossbody Bags,leather,deep-brown,,,0,224
Love Moschino,Messenger & Crossbody Bags,faux leather,teal green,,,0,109
Jil Sander,Tote Bags,two top handles,white,,Made in Italy,1,587
Emporio Armani Kids,Shoulder Bags,silver-tone logo plaque,light pink,,,0,239
Tommy Hilfiger,Tote Bags,faux leather,black,New Season,,0,187
Marni,Shoulder Bags,calf leather,light grey,New Season,Made in Italy,1,1721
Ermanno Scervino,Tote Bags,floral-lace detailing,white,,Made in Italy,1,527
PINKO,Messenger & Crossbody Bags,,,,,0,626
Tommy Hilfiger,Messenger & Crossbody Bags,logo plaque,feather white,New Season,,1,139
Michael Michael Kors,Tote Bags,leather,cloud white,,,0,260
Saint Laurent,Shoulder Bags,calf leather,white,,Made in Italy,1,3350
Polo Ralph Lauren,Shoulder Bags,leather,chocolate brown,,,0,598
MCM,Messenger & Crossbody Bags,leather,cognac brown,New Season,,1,882
REE PROJECTS,Tote Bags,calf leather,apple green,Conscious,Made in Italy,0,330
Michael Michael Kors,Tote Bags,cotton,sand beige/chocolate brown,,,0,309
Zadig&Voltaire,Bag Accessories,calf leather,pink,New Season,,1,115
JW Anderson,Tote Bags,calf leather/wool-blend,green/red,,,1,510
Bally,Clutch Bags,leather,brown,,Made in Italy,0,252
Valentino Garavani,Bucket Bags,cotton blend,black/beige/brown,,Made in Italy,1,2518
Kate Spade,Tote Bags,lambskin,black,,,0,308
Karl Lagerfeld,Messenger & Crossbody Bags,leather,black,,,1,390
Alexander McQueen,Messenger & Crossbody Bags,leather,punch pink,,,1,786
Kenzo,Messenger & Crossbody Bags,,,,,0,348
Dolce & Gabbana,Messenger & Crossbody Bags,lambskin,red,,Made in Italy,1,2157
Lancel,Shoulder Bags,calf leather,camel,,,0,360
Aspinal Of London,Tote Bags,leather ,evergreen ,,,0,889
GIABORGHINI,Belt Bags,,,,Made in Italy,0,426
Tommy Hilfiger,Tote Bags,calf leather,bright red,,,0,242
Johanna Ortiz,Tote Bags,iraca palm/leather,ivory white/cognac brown,New Season,,0,467
Dolce & Gabbana,Messenger & Crossbody Bags,lambskin,hot pink,,Made in Italy,1,1936
Filson,Laptop Bags,,,,Made in United States,0,785
Il Bisonte,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,0,336
Furla,Clutch Bags,leather,black,New Season,,0,132
Jimmy Choo,Clutch Bags,crystal embellishment,black,,Made in Italy,1,3250
Tory Burch,Tote Bags,cotton,emerald green,New Season,,0,381
Isabel Marant,Shoulder Bags,calf leather,black,New Season,,0,1139
Marni,Shoulder Bags,woven raffia design,brown,New Season,Made in Italy,0,1193
Polo Ralph Lauren,Shoulder Bags,recycled polyester,black,,,0,598
Furla,Tote Bags,padded design,blue,,,0,183
Alexander McQueen,Belt Bags,calf leather,black,New Season,Made in Italy,0,1250
Love Moschino,Messenger & Crossbody Bags,quilted,black,New Season,,0,144
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,tobacco brown,New Season,,0,386
Valentino Garavani,Messenger & Crossbody Bags,leather,pink,,Made in Italy,1,2522
Balenciaga,Tote Bags,leather,white/red/black,Conscious,Made in Italy,1,1200
Valentino Garavani,Shoulder Bags,lambskin,Niagara blue,,Made in Italy,1,3307
Comme Des Garçons Comme Des Garçons,Tote Bags,calf leather,black,,,1,613
Patou,Shoulder Bags,calf leather,white,New Season,,0,653
Maison Margiela,Tote Bags,calf leather/cotton blend,blue/brown,,Made in Italy,1,1167
Thom Browne,Clutch Bags,silk,yellow,,Made in Italy,0,369
Wandler,Tote Bags,,,Conscious,Made in Italy,0,650
Furla,Messenger & Crossbody Bags,leather,light grey,New Season,,0,372
Balenciaga,Messenger & Crossbody Bags,calf leather,brown/white/black,New Season,Made in Italy,1,805
Love Moschino,Tote Bags,gold-tone logo plaque,dark purple,,,0,176
Philipp Plein,Shoulder Bags,leather,green,,Made in Italy,0,1772
JW Anderson,Messenger & Crossbody Bags,lambskin/calf suede,turquoise,Exclusive,,1,285
Stella McCartney,Shoulder Bags,monogram pattern,crepe pink/burgundy red,Conscious,Made in Italy,1,1646
Philipp Plein,Tote Bags,leather,jet black,,Made in Italy,0,2063
BY FAR,Shoulder Bags,calf leather,light beige,,,0,240
ETRO,Tote Bags,calf leather-blend,bright red,,Made in Italy,0,965
Alexander McQueen,Tote Bags,calf leather,black,,Made in Italy,0,990
Philipp Plein,Tote Bags,calf leather,white,,Made in Italy,0,1135
Valentino Garavani,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,0,2417
Philipp Plein,Tote Bags,calf leather,black,,Made in Italy,0,1135
Alexander McQueen,Messenger & Crossbody Bags,patent calf leather,black,,Made in Italy,0,1813
10 CORSO COMO,Tote Bags,all-over logo print,black/white,,,0,64
10 CORSO COMO,Tote Bags,canvas,black ,,,0,46
Tory Burch,Messenger & Crossbody Bags,staw,beige/black,,,0,533
Karl Lagerfeld,Shoulder Bags,artificial leather,black,New Season,,0,144
Karl Lagerfeld,Bucket Bags,calf leather,black,Conscious,,0,309
See by Chloé,Messenger & Crossbody Bags,logo print to the front,camel brown/black,,,0,321
Zadig&Voltaire,Mini Bags,calf leather,black,New Season,Made in Italy,0,969
Michael Michael Kors,Tote Bags,calf leather,brown,,,0,420
DKNY,Messenger & Crossbody Bags,calf leather,beige,,,0,239
Moschino Kids,Shoulder Bags,cotton blend,black,New Season,,1,358
Kate Spade,Tote Bags,leather,bungalow brown,New Season,,0,450
Patrizia Pepe,Messenger & Crossbody Bags,snakeskin effect,hypnotical purple,,,0,188
Off-White,Shoulder Bags,leather/cotton-blend,black,,Made in Italy,1,1646
Tory Burch,Mini Bags,gold-tone logo plaque,indigo blue,,,1,579
Maison Margiela,Bucket Bags,calf leather-cotton blend,jet black,,Made in Italy,1,1349
Calvin Klein,Shoulder Bags,contrast stitching,brown,,,0,174
Emporio Armani,Tote Bags,calf leather,brown,,,0,228
Furla,Messenger & Crossbody Bags,sequin embellishment,turquoise blue-green,New Season,,0,224
Furla,Tote Bags,leather,cognac brown,,,0,473
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,blue,,,0,150
Karl Lagerfeld,Shoulder Bags,calf leather/cotton,grey,New Season,,0,253
Elleme,Messenger & Crossbody Bags,calf leather,cognac brown/cream white,,Made in Italy,1,348
Bao Bao Issey Miyake,Tote Bags,rectangle body,jet black,,,0,772
Dsquared2,Tote Bags,leather/cotton,brown/multicolour,,Made in Italy,0,640
PINKO,Mini Bags,,,,,0,316
Parajumpers,Tote Bags,,,,,0,189
Aspinal Of London,Tote Bags,leather,green,,,0,677
Love Moschino,Shoulder Bags,calf leather,white,New Season,,0,240
Stella McCartney,Tote Bags,,,Conscious,Made in Italy,0,907
Tommy Hilfiger,Backpacks,calf leather,navy blue/red/white,New Season,,1,206
Burberry,Mini Bags,quilted,blue,,Made in Italy,1,1089
Furla,Clutch Bags,leather,champagne,New Season,,0,143
Furla,Tote Bags,leather,blue,,,1,311
Kenzo,Tote Bags,woven raffia design,black/beige,,,0,302
Michael Michael Kors,Messenger & Crossbody Bags,calf leather,burgundy,,,0,164
A.P.C.,Messenger & Crossbody Bags,,,,,0,570
Patrizia Pepe,Shoulder Bags,,,,,0,208
Dolce & Gabbana,Bag Accessories,,,,Made in Italy,0,41
Karl Lagerfeld,Tote Bags,recycled polyamide-blend,black,Conscious,,0,200
Vivienne Westwood,Mini Bags,calf leather,multicolour,New Season,Made in Italy,0,432
Tod's,Tote Bags,leather,chocolate brown,New Season,Made in Italy,1,1918
Marni,Shoulder Bags,calf leather,soft brown,,Made in Italy,1,1786
ASPESI,Bucket Bags,velvet finish,emerald green,,Made in Italy,0,133
